id,state_name,area
1,Alabama,52420
2,Alaska,665384
3,Arizona,113990
4,Arkansas,53179
5,California,163695
6,Colorado,104094
7,Connecticut,5543
8,Delaware,2489
9,District of Columbia,68
10,Florida,65758
11,Georgia,59425
12,Hawaii,10932
13,Idaho,83569
14,Illinois,57914
15,Indiana,36420
16,Iowa,56273
17,Kansas,82278
18,Kentucky,40408
19,Louisiana,52378
20,Maine,35380
21,Maryland,12406
22,Massachusetts,10554
23,Michigan,96714
24,Minnesota,86936
25,Mississippi,48432
26,Missouri,69707
27,Montana,147040
28,Nebraska,77348
29,Nevada,110572
30,New Hampshire,9349
31,New Jersey,8723
32,New Mexico,121590
33,New York,54555
34,North Carolina,53819
35,North Dakota,70698
36,Ohio,44826
37,Oklahoma,69899
38,Oregon,98379
39,Pennsylvania,46054
40,Rhode Island,1545
41,South Carolina,32020
42,South Dakota,77116
43,Tennessee,42144
44,Texas,268596
45,Utah,84897
46,Vermont,9616
47,Virginia,42775
48,Washington,71298
49,West Virginia,24230
50,Wisconsin,65496
51,Wyoming,97813
