id,state_name,area,electric
1,Alabama,52420,8700
2,Alaska,665384,2000
3,Arizona,113990,65800
4,Arkansas,53179,5100
5,California,163695,903600
6,Colorado,104094,59900
7,Connecticut,5543,22000
8,Delaware,2489,5400
9,District of Columbia,68,5900
10,Florida,65758,168000
11,Georgia,59425,60100
12,Hawaii,10932,19800
13,Idaho,83569,5900
14,Illinois,57914,66900
15,Indiana,36420,17700
16,Iowa,56273,6200
17,Kansas,82278,7600
18,Kentucky,40408,7600
19,Louisiana,52378,5900
20,Maine,35380,5000
21,Maryland,12406,46100
22,Massachusetts,10554,49400
23,Michigan,96714,33100
24,Minnesota,86936,24300
25,Mississippi,48432,2400
26,Missouri,69707,17900
27,Montana,147040,3300
28,Nebraska,77348,4600
29,Nevada,110572,32900
30,New Hampshire,9349,7000
31,New Jersey,8723,87000
32,New Mexico,121590,7100
33,New York,54555,84700
34,North Carolina,53819,45600
35,North Dakota,70698,600
36,Ohio,44826,34100
37,Oklahoma,69899,16300
38,Oregon,98379,47000
39,Pennsylvania,46054,47400
40,Rhode Island,1545,4300
41,South Carolina,32020,13500
42,South Dakota,77116,1200
43,Tennessee,42144,22000
44,Texas,268596,149000
45,Utah,84897,28000
46,Vermont,9616,5300
47,Virginia,42775,56600
48,Washington,71298,104100
49,West Virginia,24230,1900
50,Wisconsin,65496,15700
51,Wyoming,97813,800
