state_ab,Total_EV_Level1_EVSE_Num,Total_EV_Level2_EVSE_Num,Total_EV_DC_Fast_Count,stations_number
AK,3,91,36,67
AL,35,744,395,466
AR,3,724,134,341
AZ,10,2672,1063,1318
CA,668,41181,11431,17878
CO,80,4810,1034,2399
CT,64,2317,457,1004
DC,25,1259,65,437
DE,5,372,214,232
FL,365,7837,2433,3723
GA,230,4291,1206,2225
HI,26,839,98,422
IA,5,583,330,399
ID,6,389,154,223
IL,53,2621,1066,1427
IN,8,1099,562,620
KS,14,1016,231,586
KY,24,609,222,328
LA,23,493,251,293
MA,53,7168,780,3293
MD,40,4397,1020,1916
ME,22,881,241,511
MI,14,2842,752,1559
MN,74,1566,485,835
MO,15,2423,485,1347
MS,139,307,120,173
MT,3,193,193,133
NC,43,3403,1120,1733
ND,0,124,89,101
NE,2,419,161,273
NH,5,436,183,277
NJ,16,3000,1078,1447
NM,10,485,254,318
NV,15,1451,755,647
NY,36,10729,1459,4335
OH,41,3053,863,1713
OK,8,557,871,386
OR,74,2570,845,1378
PA,49,3600,1093,1906
PR,0,32,0,17
RI,82,790,91,366
SC,15,1028,515,634
SD,2,130,116,104
TN,34,1794,542,992
TX,123,7041,2749,3591
UT,15,1978,386,969
VA,219,3637,1213,1735
VT,22,890,138,415
WA,165,5032,1253,2499
WI,7,1071,449,646
WV,19,299,155,166
WY,3,145,117,114
