id,state_name,electric
1,Alabama,8700
2,Alaska,2000
3,Arizona,65800
4,Arkansas,5100
5,California,903600
6,Colorado,59900
7,Connecticut,22000
8,Delaware,5400
9,District of Columbia,5900
10,Florida,168000
11,Georgia,60100
12,Hawaii,19800
13,Idaho,5900
14,Illinois,66900
15,Indiana,17700
16,Iowa,6200
17,Kansas,7600
18,Kentucky,7600
19,Louisiana,5900
20,Maine,5000
21,Maryland,46100
22,Massachusetts,49400
23,Michigan,33100
24,Minnesota,24300
25,Mississippi,2400
26,Missouri,17900
27,Montana,3300
28,Nebraska,4600
29,Nevada,32900
30,New Hampshire,7000
31,New Jersey,87000
32,New Mexico,7100
33,New York,84700
34,North Carolina,45600
35,North Dakota,600
36,Ohio,34100
37,Oklahoma,16300
38,Oregon,47000
39,Pennsylvania,47400
40,Rhode Island,4300
41,South Carolina,13500
42,South Dakota,1200
43,Tennessee,22000
44,Texas,149000
45,Utah,28000
46,Vermont,5300
47,Virginia,56600
48,Washington,104100
49,West Virginia,1900
50,Wisconsin,15700
51,Wyoming,800
