state,electric
Alabama,"8,700"
Alaska,"2,000"
Arizona,"65,800"
Arkansas,"5,100"
California,"903,600"
Colorado,"59,900"
Connecticut,"22,000"
Delaware,"5,400"
District of Columbia,"5,900"
Florida,"168,000"
Georgia,"60,100"
Hawaii,"19,800"
Idaho,"5,900"
Illinois,"66,900"
Indiana,"17,700"
Iowa,"6,200"
Kansas,"7,600"
Kentucky,"7,600"
Louisiana,"5,900"
Maine,"5,000"
Maryland,"46,100"
Massachusetts,"49,400"
Michigan,"33,100"
Minnesota,"24,300"
Mississippi,"2,400"
Missouri,"17,900"
Montana,"3,300"
Nebraska,"4,600"
Nevada,"32,900"
New Hampshire,"7,000"
New Jersey,"87,000"
New Mexico,"7,100"
New York,"84,700"
North Carolina,"45,600"
North Dakota,600
Ohio,"34,100"
Oklahoma,"16,300"
Oregon,"47,000"
Pennsylvania,"47,400"
Rhode Island,"4,300"
South Carolina,"13,500"
South Dakota,"1,200"
Tennessee,"22,000"
Texas,"149,000"
Utah,"28,000"
Vermont,"5,300"
Virginia,"56,600"
Washington,"104,100"
West Virginia,"1,900"
Wisconsin,"15,700"
Wyoming,800
United States,"2,442,300"
